"postcode","total_tax","num_individuals","mean_tax_000s","year"
2000,1726846366,36185,47.723,"2015"
2006,6715139,83,80.906,"2015"
2007,221990941,4769,46.549,"2015"
2008,610133129,5607,108.817,"2015"
2009,806658299,9726,82.939,"2015"
2010,1619682473,20287,79.839,"2015"
2011,1284841167,14945,85.972,"2015"
2015,528163260,7254,72.81,"2015"
2016,568165641,8281,68.611,"2015"
2017,800139951,12727,62.87,"2015"
2018,475557121,8727,54.493,"2015"
2019,379169012,6159,61.564,"2015"
2020,496484755,8972,55.338,"2015"
2021,1263435336,10689,118.2,"2015"
2022,749516178,9039,82.921,"2015"
2023,1172786423,7159,163.82,"2015"
2024,836593893,7381,113.345,"2015"
2025,754106595,5337,141.298,"2015"
2026,2032421403,23617,86.058,"2015"
2027,1156387975,6109,189.293,"2015"
2028,485244763,3492,138.959,"2015"
2029,734057086,6946,105.681,"2015"
2030,1817100842,9786,185.684,"2015"
2031,1953298832,23078,84.639,"2015"
2032,491518788,8408,58.459,"2015"
2033,493715124,7141,69.139,"2015"
2034,1201714720,14017,85.733,"2015"
2035,1489345939,20950,71.091,"2015"
2036,986464418,16217,60.83,"2015"
2037,744063310,9525,78.117,"2015"
2038,518461761,5961,86.976,"2015"
2039,549072672,5751,95.475,"2015"
2040,1082937958,13200,82.041,"2015"
2041,1272422370,10905,116.683,"2015"
2042,846597166,12639,66.983,"2015"
2043,415078447,5415,76.654,"2015"
2044,306459184,5038,60.83,"2015"
2045,382255522,4044,94.525,"2015"
2046,1248748518,16265,76.776,"2015"
2047,702099933,7678,91.444,"2015"
2048,363994259,5021,72.495,"2015"
2049,474509434,6790,69.884,"2015"
2050,402204333,5409,74.359,"2015"
2052,4763921,156,30.538,"2015"
2060,1044855331,10414,100.332,"2015"
2061,505967463,4405,114.863,"2015"
2062,467006063,4759,98.132,"2015"
2063,645707336,4260,151.575,"2015"
2064,484118607,6119,79.118,"2015"
2065,1932432261,20803,92.892,"2015"
